,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
th_immortal.item_power,Power,,,,,,,,火力,,,,,,,,,,,,,,,
th_immortal.log_powerup,Power up!,,,,,,,,火力提升！,,,,,,,,,,,,,,,
th_immortal.hud_power,Power: $0,,,,,,,,火力：$0,,,,,,,,,,,,,,,
th_immortal.action_kami,Kami,,,,,,,,符札,,,,,,,,,,,,,,,
th_immortal.actiondesc_kami,Sacredness,,,,,,,,神圣之物,,,,,,,,,,,,,,,
th_immortal.action_kami_trigger,Kami with trigger,,,,,,,,带有触发的符札,,,,,,,,,,,,,,,
th_immortal.actiondesc_kami_trigger,Sacredness that casts another spell upon collision,,,,,,,,在碰撞时施放另一法术的神圣之物,,,,,,,,,,,,,,,
th_immortal.action_kami_homing,Homing kami,,,,,,,,追踪符札,,,,,,,,,,,,,,,
th_immortal.actiondesc_kami_homing,Forcefully,,,,,,,,指向性,,,,,,,,,,,,,,,
th_immortal.action_orb_small,Small orb,,,,,,,,小玉,,,,,,,,,,,,,,,
th_immortal.actiondesc_orb_small,A standard shot,,,,,,,,标准射击,,,,,,,,,,,,,,,
th_immortal.action_orb_medium,Medium orb,,,,,,,,中玉,,,,,,,,,,,,,,,
th_immortal.actiondesc_orb_medium,A larger shot,,,,,,,,更大的射击,,,,,,,,,,,,,,,
th_immortal.action_orb_large,Large orb,,,,,,,,大玉,,,,,,,,,,,,,,,
th_immortal.actiondesc_orb_large,A powerful large shot,,,,,,,,强力的巨型射击,,,,,,,,,,,,,,,
th_immortal.item_gohei,Gohei,,,,,,,,御币,,,,,,,,,,,,,,,
th_immortal.item_jade,Jade,,,,,,,,阴阳玉,,,,,,,,,,,,,,,
th_immortal.itemdesc_jade,Mysterious stuff,,,,,,,,神秘之物,,,,,,,,,,,,,,,
th_immortal.item_narcissus,Narcissus,,,,,,,,水仙花,,,,,,,,,,,,,,,
th_immortal.item_pistol,Pistol lunar,,,,,,,,月面手枪,,,,,,,,,,,,,,,
th_immortal.item_saisen,Saisen,,,,,,,,赛钱箱,,,,,,,,,,,,,,,
th_immortal.itemdesc_saisen,Drop some gold into the offertory box... Mysterious forces might reward generosity.,,,,,,,,丢些金子到赛钱箱里吧... 神秘的力量或许会奖赏慷慨之举,,,,,,,,,,,,,,,
th_immortal.itempickup_pay,Press $0 to pay '$1',,,,,,,,按 $0 支付“$1”,,,,,,,,,,,,,,,
th_immortal.itempickup_notenoughgold,Not enough gold to pay '$0',,,,,,,,黄金不足以支付“$0”,,,,,,,,,,,,,,,
th_immortal.setting_misssound,Miss sound,,,,,,,,被弹音效,,,,,,,,,,,,,,,
th_immortal.settingdesc_misssound,Enable playback of miss sound effect.,,,,,,,,启用被弹音效的播放。,,,,,,,,,,,,,,,
